
Session altered.

=== TABLES ===
TABLE_NAME|COMMENTS
BL_BATCH_LOG|
BL_BILLING|
BL_OVERDUE|
BL_PAYMENT|
CM_AUTH|
CM_CODE|
CM_CODE_GROUP|
CM_MENU|
CM_NOTIFICATION|
CM_ROLE|
CM_ROLE_AUTH|
CM_USER|
CM_USER_AUTH|
CT_CONTRACT|
CT_CUSTOMER|
CT_ENGINEER|
CT_EQUIPMENT|
CT_PRODUCT|
CT_VISIT|

=== COLUMNS ===
TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|NULLABLE
CT_CONTRACT|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_CONTRACT|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_CONTRACT|FIRS_REG_IP|VARCHAR2|50|N
CT_CONTRACT|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_CONTRACT|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_CONTRACT|FINA_REG_USER_ID|VARCHAR2|20|N
CT_CONTRACT|FINA_REG_IP|VARCHAR2|50|N
CT_CUSTOMER|CUSTOMER_ID|NUMBER|22|N
CT_CUSTOMER|CUSTOMER_NO|VARCHAR2|20|N
CT_CUSTOMER|CUSTOMER_NAME|VARCHAR2|100|N
CT_CUSTOMER|EMAIL|VARCHAR2|254|N
CT_CUSTOMER|PASSWORD|VARCHAR2|255|N
CT_CUSTOMER|PHONE|VARCHAR2|20|N
CT_CUSTOMER|BIRTH_DATE|DATE|7|Y
CT_CUSTOMER|ADDRESS_ZIP|VARCHAR2|10|Y
CT_CUSTOMER|ADDRESS|VARCHAR2|500|N
CT_CUSTOMER|TERMS_AGREE_YN|VARCHAR2|1|N
CT_CUSTOMER|USE_YN|VARCHAR2|1|N
CT_CUSTOMER|LOGIN_FAIL_CNT|NUMBER|22|N
CT_CUSTOMER|LOCKED_AT|TIMESTAMP(0)|7|Y
CT_CUSTOMER|LAST_LOGIN_AT|TIMESTAMP(0)|7|Y
CT_CUSTOMER|WRK_RMK|VARCHAR2|100|Y
CT_CUSTOMER|FIRS_REG_PGM_ID|VARCHAR2|50|N
CT_CUSTOMER|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_CUSTOMER|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_CUSTOMER|FIRS_REG_IP|VARCHAR2|50|N
CT_CUSTOMER|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_CUSTOMER|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_CUSTOMER|FINA_REG_USER_ID|VARCHAR2|20|N
CT_CUSTOMER|FINA_REG_IP|VARCHAR2|50|N
CT_ENGINEER|ENGINEER_ID|NUMBER|22|N
CT_ENGINEER|ENGINEER_CODE|VARCHAR2|20|N
CT_ENGINEER|ENGINEER_NAME|VARCHAR2|100|N
CT_ENGINEER|ENGINEER_TYPE|VARCHAR2|20|N
CT_ENGINEER|PHONE|VARCHAR2|20|N
CT_ENGINEER|EMAIL|VARCHAR2|254|Y
CT_ENGINEER|AREA|VARCHAR2|100|Y
CT_ENGINEER|USE_YN|VARCHAR2|1|N
CT_ENGINEER|WRK_RMK|VARCHAR2|100|Y
CT_ENGINEER|FIRS_REG_PGM_ID|VARCHAR2|50|N
CT_ENGINEER|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_ENGINEER|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_ENGINEER|FIRS_REG_IP|VARCHAR2|50|N
CT_ENGINEER|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_ENGINEER|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_ENGINEER|FINA_REG_USER_ID|VARCHAR2|20|N
CT_ENGINEER|FINA_REG_IP|VARCHAR2|50|N
CT_EQUIPMENT|EQUIPMENT_ID|NUMBER|22|N
CT_EQUIPMENT|EQUIPMENT_CODE|VARCHAR2|20|N
CT_EQUIPMENT|EQUIPMENT_TYPE|VARCHAR2|50|N
CT_EQUIPMENT|MODEL_NAME|VARCHAR2|200|N
CT_EQUIPMENT|MANUFACTURER|VARCHAR2|200|N
CT_EQUIPMENT|RELEASE_DATE|DATE|7|Y
CT_EQUIPMENT|IMAGE_URL|VARCHAR2|500|Y
CT_EQUIPMENT|DESCRIPTION|VARCHAR2|1000|Y
CT_EQUIPMENT|STOCK_QTY|NUMBER|22|N
CT_EQUIPMENT|USE_YN|VARCHAR2|1|N
CT_EQUIPMENT|WRK_RMK|VARCHAR2|100|Y
CT_EQUIPMENT|FIRS_REG_PGM_ID|VARCHAR2|50|N
CT_EQUIPMENT|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_EQUIPMENT|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_EQUIPMENT|FIRS_REG_IP|VARCHAR2|50|N
CT_EQUIPMENT|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_EQUIPMENT|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_EQUIPMENT|FINA_REG_USER_ID|VARCHAR2|20|N
CT_EQUIPMENT|FINA_REG_IP|VARCHAR2|50|N
CT_PRODUCT|PRODUCT_ID|NUMBER|22|N
CT_PRODUCT|PRODUCT_CODE|VARCHAR2|20|N
CT_PRODUCT|EQUIPMENT_ID|NUMBER|22|N
CT_PRODUCT|PRODUCT_NAME|VARCHAR2|200|N
CT_PRODUCT|MONTHLY_FEE|NUMBER|22|N
CT_PRODUCT|CONTRACT_MONTHS|NUMBER|22|N
CT_PRODUCT|DEPOSIT_AMOUNT|NUMBER|22|N
CT_PRODUCT|INSTALL_FEE|NUMBER|22|N
CT_PRODUCT|DESCRIPTION|VARCHAR2|1000|Y
CT_PRODUCT|USE_YN|VARCHAR2|1|N
CT_PRODUCT|WRK_RMK|VARCHAR2|100|Y
CT_PRODUCT|FIRS_REG_PGM_ID|VARCHAR2|50|N
CT_PRODUCT|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_PRODUCT|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_PRODUCT|FIRS_REG_IP|VARCHAR2|50|N
CT_PRODUCT|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_PRODUCT|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_PRODUCT|FINA_REG_USER_ID|VARCHAR2|20|N
CT_PRODUCT|FINA_REG_IP|VARCHAR2|50|N
CT_VISIT|VISIT_ID|NUMBER|22|N
CT_VISIT|CONTRACT_ID|NUMBER|22|N
CT_VISIT|ENGINEER_ID|NUMBER|22|N
CT_VISIT|VISIT_TYPE|VARCHAR2|20|N
CT_VISIT|SCHEDULED_DATE|DATE|7|N
CT_VISIT|COMPLETED_DATE|DATE|7|Y
CT_VISIT|VISIT_STATUS|VARCHAR2|20|N
CT_VISIT|CANCEL_REASON|VARCHAR2|1000|Y
CT_VISIT|MEMO|VARCHAR2|1000|Y
CT_VISIT|WRK_RMK|VARCHAR2|100|Y
CT_VISIT|FIRS_REG_PGM_ID|VARCHAR2|50|N
CT_VISIT|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CT_VISIT|FIRS_REG_USER_ID|VARCHAR2|20|N
CT_VISIT|FIRS_REG_IP|VARCHAR2|50|N
CT_VISIT|FINA_REG_PGM_ID|VARCHAR2|50|N
CT_VISIT|FINA_REG_DTS|TIMESTAMP(0)|7|N
CT_VISIT|FINA_REG_USER_ID|VARCHAR2|20|N
CT_VISIT|FINA_REG_IP|VARCHAR2|50|N

=== CONSTRAINTS ===
TABLE_NAME|CONSTRAINT_NAME|TYPE|COLUMNS|REFERENCES
BL_BATCH_LOG|PK_BL_BATCH_LOG|PK|BATCH_LOG_ID|
BL_BILLING|PK_BL_BILLING|PK|BILLING_ID|
BL_BILLING|FK_BL_BILLING_BATCH|FK|BATCH_LOG_ID|PK_BL_BATCH_LOG
BL_BILLING|FK_BL_BILLING_CONTRACT|FK|CONTRACT_ID|PK_CT_CONTRACT
BL_BILLING|FK_BL_BILLING_CUSTOMER|FK|CUSTOMER_ID|PK_CT_CUSTOMER
BL_BILLING|UK_BL_BILLING_CONTRACT_MONTH|UNIQUE|CONTRACT_ID,BILLING_MONTH|
BL_BILLING|UK_BL_BILLING_NO|UNIQUE|BILLING_NO|
BL_OVERDUE|PK_BL_OVERDUE|PK|OVERDUE_ID|
BL_OVERDUE|FK_BL_OVERDUE_BILLING|FK|BILLING_ID|PK_BL_BILLING
BL_OVERDUE|FK_BL_OVERDUE_CUSTOMER|FK|CUSTOMER_ID|PK_CT_CUSTOMER
BL_OVERDUE|UK_BL_OVERDUE_BILLING|UNIQUE|BILLING_ID|
BL_PAYMENT|PK_BL_PAYMENT|PK|PAYMENT_ID|
BL_PAYMENT|FK_BL_PAYMENT_BILLING|FK|BILLING_ID|PK_BL_BILLING
BL_PAYMENT|FK_BL_PAYMENT_CUSTOMER|FK|CUSTOMER_ID|PK_CT_CUSTOMER
BL_PAYMENT|UK_BL_PAYMENT_NO|UNIQUE|PAYMENT_NO|
BL_PAYMENT|UK_BL_PAYMENT_TOSS|UNIQUE|TOSS_ORDER_ID|
CM_AUTH|PK_CM_AUTH|PK|AUTH_CODE|
CM_AUTH|FK_CM_AUTH_MENU|FK|MENU_ID|PK_CM_MENU
CM_CODE|PK_CM_CODE|PK|CODE_ID|
CM_CODE|FK_CM_CODE_GROUP|FK|GROUP_CODE|PK_CM_CODE_GROUP
CM_CODE|UK_CM_CODE_GROUP_VALUE|UNIQUE|GROUP_CODE,CODE_VALUE|
CM_CODE_GROUP|PK_CM_CODE_GROUP|PK|GROUP_CODE|
CM_MENU|PK_CM_MENU|PK|MENU_ID|
CM_MENU|FK_CM_MENU_PARENT|FK|PARENT_MENU_ID|PK_CM_MENU
CM_NOTIFICATION|PK_CM_NOTIFICATION|PK|NOTIFICATION_ID|
CM_NOTIFICATION|FK_CM_NOTIFICATION_USER|FK|RECIPIENT_USER_ID|PK_CM_USER
CM_ROLE|PK_CM_ROLE|PK|ROLE_ID|
CM_ROLE|UK_CM_ROLE_CODE|UNIQUE|ROLE_CODE|
CM_ROLE_AUTH|PK_CM_ROLE_AUTH|PK|ROLE_AUTH_ID|
